trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.09999999999999964, 'e': 0.0}",25,0,43.736327881087924,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.09499999999999964, 'e': 0.0}",20,0,34.978189543013,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.08999999999999964, 'e': 0.0}",25,16,15.18734972976125,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.08499999999999963, 'e': 0.0}",25,11,29.91199808717317,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.07999999999999963, 'e': 0.0}",25,18,13.904841800069779,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.07499999999999962, 'e': 0.0}",25,12,21.815672269510948,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.06999999999999962, 'e': 0.0}",25,20,9.524623665680185,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.06499999999999961, 'e': 0.0}",20,11,18.45756964877654,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.059999999999999616, 'e': 0.0}",20,0,34.567744428862184,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.05499999999999962, 'e': 0.0}",20,10,19.024604537751642,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.04999999999999962, 'e': 0.0}",20,3,29.412125099050222,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.044999999999999624, 'e': 0.0}",20,8,23.538565942391894,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.039999999999999626, 'e': 0.0}",20,9,18.97772024708368,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.03499999999999963, 'e': 0.0}",25,12,24.254247725052053,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.029999999999999628, 'e': 0.0}",25,14,22.283082068019258,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.024999999999999627, 'e': 0.0}",20,13,13.767935186072943,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.019999999999999626, 'e': 0.0}",30,12,30.172052735199134,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.014999999999999625, 'e': 0.0}",20,9,22.240767778392165,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.009999999999999624, 'e': 0.0}",20,9,18.88217224706874,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.004999999999999624, 'e': 0.0}",20,13,12.783034929450517,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.0, 'e': 0.0}",25,17,14.011607891259345,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",35,24,23.604780467770635,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,15,9.675742005025704,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,20,16.875947878817094,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,3,40.6120299567403,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,9,38.324676696742195,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,16,29.86450038314804,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,16,7.212969433845157,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,14,18.76574571890872,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,2,43.563321946542715,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,3,27.192079004456907,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
