trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
65,False,"{'a': 0.1749999999999997, 'e': 0.0}",25,19,-11.269217634252401,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
66,False,"{'a': 0.1699999999999997, 'e': 0.0}",20,5,27.393438459241622,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.1649999999999997, 'e': 0.0}",30,18,21.344587252577966,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.1599999999999997, 'e': 0.0}",30,17,24.63955668010231,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.1549999999999997, 'e': 0.0}",20,10,16.692223492046658,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.1499999999999997, 'e': 0.0}",30,3,47.00117563133321,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.14499999999999968, 'e': 0.0}",25,18,14.02661707653029,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.13999999999999968, 'e': 0.0}",35,20,27.49683468174794,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.13499999999999968, 'e': 0.0}",30,19,23.11502769530017,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.12999999999999967, 'e': 0.0}",20,0,35.637526475398865,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.12499999999999967, 'e': 0.0}",20,0,27.843680089601147,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.11999999999999966, 'e': 0.0}",35,18,34.743426712923046,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.11499999999999966, 'e': 0.0}",25,16,-4.266047902762558,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
78,False,"{'a': 0.10999999999999965, 'e': 0.0}",25,0,38.214664197764016,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.10499999999999965, 'e': 0.0}",20,6,21.80115110494268,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.09999999999999964, 'e': 0.0}",25,18,14.751653136924507,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.09499999999999964, 'e': 0.0}",20,6,23.318639155976875,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.08999999999999964, 'e': 0.0}",20,16,6.470999285747132,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.08499999999999963, 'e': 0.0}",30,20,17.780188448000168,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.07999999999999963, 'e': 0.0}",20,14,13.609421005421606,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.07499999999999962, 'e': 0.0}",30,9,37.50838954905283,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.06999999999999962, 'e': 0.0}",20,6,22.535318006444523,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.06499999999999961, 'e': 0.0}",20,0,31.75669449051538,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.059999999999999616, 'e': 0.0}",20,0,32.40959502865438,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.05499999999999962, 'e': 0.0}",20,0,33.021707032112054,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.04999999999999962, 'e': 0.0}",20,13,14.107505937967472,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.044999999999999624, 'e': 0.0}",25,3,36.21584386192513,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.039999999999999626, 'e': 0.0}",20,9,19.02597292334152,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.03499999999999963, 'e': 0.0}",25,18,13.618722554041266,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.029999999999999628, 'e': 0.0}",20,15,9.954438475612049,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.024999999999999627, 'e': 0.0}",20,0,29.538238610550675,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.019999999999999626, 'e': 0.0}",35,21,27.609807967433458,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.014999999999999625, 'e': 0.0}",20,0,30.08383020288016,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.009999999999999624, 'e': 0.0}",25,12,24.960993477955036,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.004999999999999624, 'e': 0.0}",20,6,21.36471778671064,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.0, 'e': 0.0}",20,2,33.376669364566055,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,17,16.116580349964238,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,17,15.7046772059159,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,5,27.0026660330856,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,10,21.139434138730365,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,13,13.378904566024968,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,32.73250367066701,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,13,13.852135547218047,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,4,29.06402632965589,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,17,16.156944176056726,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,8,28.80653207542552,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
